category_label,category_name,universe_label,universe_name,type,name,short_description,phase_label,phase_name,url_product,url_documentation
network,Network & Connectivity,public_cloud,Public Cloud,product,Load Balancer aaS,Load Balancer for Public Cloud with pay as you go,alpha,alpha,#,https://docs.ovh.com
network,Network & Connectivity,baremetal_cloud private_cloud public_cloud,Baremetal Cloud,product,IP Failover,Additionnal dynamic public IPs for your services,general_avail,General availability,https://www.ovhcloud.com/fr/bare-metal/ip/,https://docs.ovh.com
network,Network & Connectivity,baremetal_cloud private_cloud public_cloud,Web Cloud,product,CDN Infrastructure,Caching system in 3 POP,regional_avail,Regional availability,https://www.ovh.com/fr/cdn/infrastructure/,https://docs.ovh.com
network,Network & Connectivity,web_cloud,Web Cloud,product,CDN Web,Caching system for OVHcloud Web plans,regional_avail,Regional availability,https://www.ovhcloud.com/fr/web-hosting/options/cdn/,https://docs.ovh.com
hosting,,web_cloud,,category,Web Hosting,Host websites and web applications,,,,
hosting,Web Hosting,web_cloud,Web Cloud,product,Web hosting offers,Multiple hosting plans,general_avail,General availability,https://www.ovhcloud.com/fr/web-hosting/,https://docs.ovh.com
hosting,Web Hosting,web_cloud,Web Cloud,product,Web PaaS,Managed all in one platform powered by platform.sh,regional_avail,Regional availability,https://www.ovhcloud.com/fr/web-paas/,https://docs.ovh.com
hosting,Web Hosting,web_cloud,Web Cloud,product,Domain names,More than 1000 domain names to register,general_avail,General availability,https://www.ovhcloud.com/fr/domains/,https://docs.ovh.com
collab,,web_cloud,,category,Collaborative Tools,managed tools to improve your business office work,,,,
collab,Collaborative tools,web_cloud,Web Cloud,product,Visibility Pro,Tools to improve your natural SEO,regional_avail,Regional availability,https://www.ovhcloud.com/fr/web-hosting/options/pro-visibility/,https://docs.ovh.com
collab,Collaborative tools,web_cloud,Web Cloud,product,Emails Solutions,Range of business email services,regional_avail,Regional availability,https://www.ovhcloud.com/fr/emails/,https://docs.ovh.com
collab,Collaborative tools,web_cloud,Web Cloud,product,Collaborative Tools,Microsoft 365 and Sharepoint as a Service,regional_avail,Regional availability,https://www.ovhcloud.com/en-gb/collaborative-tools/,https://docs.ovh.com
